par,task,platform,completion,time,satisfaction,tspec,age,gender,confidence
1,1,Mercato,0,NA,4,70,52.8312231971293,0,4.998611724648897
2,2,Mercato,1,164.41643022938877,4,150,57.407893232376374,0,2.2022332109420475
3,1,Mercato,1,117.27204095289588,4.5,70,57.368787615409516,1,3.979412802113529
4,2,Mercato,1,140.96455965359112,4.5,150,62.657627954505784,1,4.233709330392588
5,1,Mercato,1,88.31145752760786,3.5,70,62.95139633156185,0,4.8420584212369215
6,2,Mercato,1,150.5910927888512,4,150,59.075139171189335,0,3.2143644386213177
7,1,Mercato,1,65.03933812706215,4,70,68.080143652108,1,4.933979159909694
8,2,Mercato,1,213.3777311295039,4,150,52.671760731818566,0,2.6074038955809455
9,1,Mercato,1,74.70976027155822,4.5,70,59.94200754996573,0,4.517247011046065
10,2,Mercato,0,NA,4.5,150,62.32610008420515,1,2.8742678330146
11,1,Mercato,1,70.48516005940431,4.5,70,57.69181524699042,1,4.0622495215559375
12,2,Mercato,1,208.4132080274086,4,150,58.89102068689148,1,2.560768993113024
13,1,Mercato,1,68.66839354554813,3.5,70,55.84009551533354,0,4.799961505954213
14,2,Mercato,1,187.10809404217707,3.5,150,58.434620234593204,1,3.9180745280707523
15,1,Mercato,0,NA,3.5,70,60.34265975951745,0,4.7466044916517385
16,2,Mercato,1,173.38949529424252,4.5,150,54.85000218622464,0,2.9062501323007925
17,1,Mercato,1,103.6078656575303,4.5,70,58.420867652508825,0,4.908803872557972
18,2,Mercato,1,175.94227186019828,3.5,150,59.07625877382892,0,2.7530676443354585
19,1,Mercato,1,101.37535995609208,4.5,70,56.65976231952022,0,4.710240454001857
20,2,Mercato,1,160.26948145215647,4.5,150,50.83313863732786,0,3.0007759616020784
21,1,Mercato,1,86.29966900603094,4.5,70,66.90857846919037,0,4.169355822252337
22,2,Mercato,1,148.49136426208173,3.5,150,63.89401105231431,1,3.3165367404294916
23,1,Mercato,1,78.2908216963563,4,70,62.29441303164931,1,4.695819696157536
24,2,Mercato,1,181.83085402085445,4,150,60.31924010449971,1,2.88679027466405
25,1,Mercato,1,98.57763125919998,4,70,56.8836730768576,1,4.619769805610054
26,2,Mercato,1,189.28260733335037,4,150,66.18839545702181,0,2.447063404096913
27,1,Mercato,1,137.60924039630552,4.5,70,63.31471403083208,0,4.275723451025563
28,2,Mercato,1,183.30937858502048,4,150,59.21176548754748,0,3.2881832909290614
29,1,Mercato,1,111.46851346130623,4,70,60.93255052278355,0,4.0511948381559435
30,2,Mercato,1,161.27192537372326,4.5,150,50.66101430963953,1,3.1825669595058326
31,1,Mercato,1,93.236680154411,3.5,70,54.86058708673077,0,4.20559869560172
32,2,Mercato,0,NA,3.5,150,73.94774608808211,1,3.3173435639055002
33,1,Mercato,1,114.27841130882184,4,70,67.00348616530046,1,3.9838322859374067
34,2,Mercato,1,193.06171561911373,3.5,150,67.54180605094896,0,2.983013010422178
35,1,Mercato,1,60.238832988911,4.5,70,58.283148002282545,1,4.762210043337578
36,2,Mercato,1,159.8971176841481,4.5,150,70.99318734865855,1,2.4201654820361167
37,1,Mercato,1,101.30169305061996,4,70,55.645023813367516,1,4.410908734800039
38,2,Mercato,1,155.71037998806943,2.5,150,51.432981940984334,1,3.360480681359131
39,1,Mercato,1,55.88546887934136,4,70,61.436073617206034,1,4.641813878274295
40,2,Mercato,1,148.71404687986586,3,150,59.09613393391545,0,3.1675665377470024
41,1,Mercato,1,104.37665802211103,4,70,68.07875542051481,1,4.803878430368731
42,2,Mercato,1,150.11148467756084,3.5,150,67.06048621281474,1,2.8490204411464775
43,1,Mercato,1,81.43572839261952,4,70,72.44877495910556,0,4.984833760564343
44,2,Mercato,1,207.31559216293417,3.5,150,50.57679452948899,1,2.7261253288955096
45,1,Mercato,1,97.80348333923122,4.5,70,65.56063510509962,0,4.955622756222349
46,2,Mercato,0,NA,3.5,150,53.90990624537545,1,3.177542332624725
47,1,Mercato,1,93.13887621133672,4.5,70,64.75942177928927,0,4.950752146978106
48,2,Mercato,1,185.5258308599627,4,150,67.16845111508763,0,3.494852619079068
49,1,Mercato,1,154.42627779149166,4,70,56.483019741148205,1,4.09728404634591
50,2,Mercato,0,NA,3.5,150,54.192855470931804,0,2.9512792880394665
51,1,Mercato,1,84.92685917346093,4,70,57.42569485485249,0,4.4714571124246945
52,2,Mercato,0,NA,3.5,150,54.28516317368353,0,3.56072825839465
53,1,Mercato,1,110.8667748920026,3.5,70,51.903959255491266,0,4.376612703747444
54,2,Mercato,0,NA,3,150,64.76254699336364,0,2.7747825135686073
55,1,Mercato,1,71.08221876114784,4.5,70,52.54867909271153,1,4.980367167659527
56,2,Mercato,1,183.86891773820864,4.5,150,56.390747958945646,1,3.819043708939327
57,1,Mercato,1,87.19857150626028,3.5,70,51.46457004577012,1,4.887200701944945
58,2,Mercato,1,221.1160227080232,4.5,150,55.607490896596836,1,3.436170020169336
59,1,Mercato,1,94.40703591752465,4.5,70,56.11320753039666,1,4.49703765700139
60,2,Mercato,1,197.07352548385234,4,150,62.658683636050824,1,2.4277246860697974
61,1,Mercato,1,91.09495056186782,3.5,70,55.9919232047055,1,4.590797013398119
62,2,Mercato,1,162.57099726662614,3,150,51.53396893578753,1,3.413645163856077
63,1,Mercato,1,105.81947477932947,3.5,70,58.204963858125154,1,4.1439486687120075
64,2,Mercato,1,136.1732881154993,4.5,150,50.130293613651276,0,3.2107994245776017
65,1,Mercato,1,92.17388112007313,4,70,56.7493394759172,0,4.948907305044313
66,2,Mercato,1,194.54192718530865,3.5,150,54.982433509119595,1,2.811931329711846
67,1,Mercato,1,130.01039188050572,4,70,58.00017934817138,0,4.684141093622313
68,2,Mercato,1,128.90662517944372,4.5,150,60.01418980090004,0,1.852838113012742
69,1,Mercato,0,NA,4.5,70,54.513844495895704,1,4.771273280934499
70,2,Mercato,0,NA,4,150,50.44951164618462,1,2.7027078272313503
71,1,Mercato,1,117.25970415284388,4,70,77.40687335088407,0,4.787918027883827
72,2,Mercato,0,NA,3,150,54.26704151288882,0,2.83531097345018
73,1,Mercato,1,115.64795505576119,4.5,70,57.826380912724225,0,3.6872109914279694
74,2,Mercato,0,NA,4,150,52.105763423238024,0,2.9254002162516475
75,1,Mercato,1,96.77455061176086,4,70,57.33947373074173,1,4.587376652737148
76,2,Mercato,1,148.43916561425422,3,150,55.938111740190486,0,3.046268119633778
77,1,Mercato,1,74.82021378734186,4.5,70,68.17020829854067,0,3.946539331300385
78,2,Mercato,1,223.09037770715057,4,150,64.63886557558448,1,2.692533388372243
79,1,Mercato,1,142.8000202147441,4,70,63.81503207053066,0,4.7882130720593885
80,2,Mercato,1,141.5457556121422,3.5,150,53.766763784871706,0,2.6470109582442083
81,1,Mercato,1,87.07816454236344,4.5,70,59.537384002017106,0,4.095529431858074
82,2,Mercato,1,151.28024483460527,4,150,65.99832324829802,0,3.4697518846790194
83,1,Mercato,0,NA,3.5,70,53.17273512241786,1,4.509788821081532
84,2,Mercato,1,181.27115279233084,4.5,150,67.09560424315272,1,2.8131217446985657
85,1,Mercato,1,63.31808809751446,4.5,70,53.829728566457185,0,4.716606720394437
